stname,Female,Male,18-29,30-44,45-64,65+,Bachelors,LTC,Post-grad,Black,Other,White,Republican,Democrat,Independent,Something else,percent_christian,percent_non_christian
AK,0.509758898,0.490241102,0.180252583,0.28358209,0.383467279,0.152698048,0.185993111,0.704936854,0.109070034,0.022963113,0.174513055,0.802526832,0.275862069,0.298850575,0.298850575,0.126436782,0.62,0.38
AL,0.532911392,0.467088608,0.132911392,0.225316456,0.42278481,0.218987342,0.170886076,0.732911392,0.096202532,0.237975684,0.024051633,0.737975684,0.435356201,0.258575198,0.237467018,0.068601583,0.86,0.14
AR,0.546722455,0.453277545,0.157601116,0.253835425,0.351464435,0.237099024,0.189679219,0.725244073,0.085076709,0.121339912,0.022316202,0.856346886,0.300796813,0.344621514,0.28685259,0.067729084,0.79,0.21
AZ,0.500683995,0.499316005,0.165526676,0.233926129,0.358413133,0.242134063,0.207934337,0.648426813,0.143638851,0.041040672,0.076608387,0.882353941,0.362694301,0.286010363,0.283937824,0.067357513,0.67,0.33
CA,0.537897822,0.462102178,0.185510888,0.246649916,0.358458961,0.209380235,0.263190955,0.599455611,0.137353434,0.068677717,0.138610715,0.792714568,0.269950272,0.425526877,0.234904097,0.069618754,0.63,0.37
CO,0.516025641,0.483974359,0.169230769,0.263461538,0.393589744,0.173717949,0.286538462,0.575,0.138461538,0.029488179,0.028847154,0.941667667,0.314720812,0.327411168,0.310913706,0.046954315,0.64,0.36
CT,0.544897959,0.455102041,0.124489796,0.198639456,0.441496599,0.23537415,0.254421769,0.565306122,0.180272109,0.067347939,0.034014605,0.898640456,0.189138577,0.376404494,0.383895131,0.050561798,0.7,0.3
DC,0.551842331,0.448157669,0.258783205,0.29562982,0.275064267,0.170522708,0.290488432,0.399314482,0.310197087,0.46529663,0.033420023,0.501286347,0.139784946,0.666666667,0.172043011,0.021505376,0.65,0.35
DE,0.533972125,0.466027875,0.104529617,0.225609756,0.395470383,0.274390244,0.216027875,0.648954704,0.135017422,0.18728323,0.027004484,0.785715286,0.298969072,0.407216495,0.257731959,0.036082474,0.69,0.31
FL,0.53692066,0.46307934,0.133542812,0.198743126,0.391201885,0.276512176,0.220738413,0.672034564,0.107227023,0.124510034,0.032601157,0.842891809,0.327065351,0.389642417,0.230579531,0.0527127,0.7,0.3
GA,0.551971326,0.448028674,0.176344086,0.287455197,0.374193548,0.162007168,0.217921147,0.673835125,0.108243728,0.282438276,0.030825373,0.686739351,0.349062702,0.341952165,0.239172592,0.06981254,0.79,0.21
HI,0.516902944,0.483097056,0.121046892,0.225736096,0.383860414,0.269356598,0.26172301,0.60959651,0.12868048,0.017449201,0.634679299,0.347874501,0.175,0.375,0.341666667,0.108333333,0.63,0.37
IA,0.526647966,0.473352034,0.161290323,0.245441795,0.365357644,0.227910238,0.201963534,0.701963534,0.096072931,0.017532557,0.019636344,0.9628341,0.246268657,0.382462687,0.309701493,0.061567164,0.77,0.23
